Age,Wing,Weight,Culmen,Hallux,Tail
1,385,920,25.7,30.1,219
1,381,990,26.7,31.3,235
1,265,470,18.7,23.5,220
1,205,170,12.5,14.3,157
1,412,1090,28.5,32.2,230
1,370,960,25.3,30.1,212
0,375,855,27.2,30,243
0,412,1210,29.3,31.3,210
1,405,1120,26,30.2,238
1,393,1010,26.3,30.8,222
1,371,1010,25.4,29.7,217
0,390,1120,28.9,30.9,213
1,416,1170,26.5,34,243
0,436,1390,30.5,34,232
1,418,1150,27.1,31,238
0,381,950,28.9,28.9,202
1,378,910,25.7,28.2,227
1,396,1010,24,26.9,227
1,399,1070,26.4,31.2,222
1,416,1190,28.8,31.6,237
1,415,101,24.9,30.7,238
0,392,1330,27,30.3,213
1,380,990,26,30,211
1,399,1100,26.2,32.5,190
0,401,1190,28.6,31.6,245
1,205,180,11.7,15,164
1,427,1490,30.1,32.4,246
0,395,1040,27.1,31.4,207
1,362,820,24.9,27.9,209
0,396,1030,26,29.7,200
0,391,1300,25.5,32.4,215
0,413,1500,26.5,31.3,219
0,371,1080,25.3,27.2,198
0,385,1320,27.3,30.1,207
0,378,1490,25.4,31.3,204
0,416,1500,29.1,30.8,205
1,193,100,9.3,101,144
1,171,88,9.7,11.5,136
1,233,324,16,19.3,191
1,384,1060,26.1,31.2,230
1,382,1140,25.1,29.4,227
1,390,1030,27.6,30.3,208
1,390,1000,25.1,28.3,231
1,393,1050,28.7,29.8,222
1,378,1040,26.2,31.2,225
1,398,1110,26.5,30.9,225
1,412,1300,27.9,31.55,233
1,400,980,25.7,29.3,214
1,422,1120,26.4,28.3,233
1,202,134,12.4,13.7,158
1,394,1270,27.8,31.6,245
1,369,880,25,26.5,210
1,252,340,16,20.8,230
0,240,340,16.1,19.3,192
1,410,1255,29.7,31.4,229
1,241,1320,28.6,36.4,235
1,408,1320,30,33.4,221
1,37.2,1180,20.2,26.65,210
1,380,760,24.5,26.1,212
1,396,1250,26.6,32.5,225
1,158,100,10.8,10.5,122
1,416,1300,27.3,32.7,235
1,271,475,18.2,24.75,232
0,176,100,9.8,11.1,133
0,390,1080,30.2,29.1,209
0,391,1130,26.4,29.4,212
0,387,1160,26.8,31,209
1,420,1345,29.5,34.3,250
0,435,1385,32.6,30.6,235
0,400,1210,25.5,28.6,222
1,398,1455,28,31.5,236
1,395,1180,25,28.9,210
1,410,1500,27.1,33.2,239
1,369,1025,27.1,31.5,228
1,372,930,26.1,31.1,220
1,415,1360,28.6,33.5,233
1,412,1255,27.7,32.6,236
1,205,194,12.6,14.4,155
1,204,159,12.5,14.8,152
1,170,90,9.5,11.3,135
0,233,340,17.8,19.4,186
1,375,1065,25.9,30,216
1,385,1125,19.6,31.4,233
1,422,1340,28.7,32,248
1,391,1050,26.6,32.2,221
1,410,1210,27.5,308,227
1,385,980,26.8,27.8,223
1,381,1000,25.5,29.8,219
0,416,1390,28.1,31.3,225
1,406,1275,29,33.7,238
1,418,1180,30.1,341.4,235
1,412,1210,29.3,33.8,222
0,208,168,12.7,14.8,155
1,208,146,11.8,14.9,160
1,175,108,10,11.5,137
1,166,94,9.5,11.3,127
1,405,1085,27.7,29.9,238
0,198,188,12.2,143,150
1,200,154,12.4,14.4,150
1,380,810,25.9,28.7,229
1,381,905,27.9,29.1,227
1,169,94,9,10.2,129
1,260,420,19.6,23.9,220
1,428,1240,29.1,34.7,245
1,400,990,26.9,31.4,223
1,265,365,16.8,22.5,224
1,177,91,10.2,11.3,133
1,381,1010,25.8,31.7,210
1,403,980,26.3,29.7,234
1,382,860,26.5,29,219
1,382,970,25.8,29,216
1,399,980,27.5,29.9,230
1,380,985,23.9,29,223
1,375,990,25.6,30.6,220
1,420,1210,27.8,32.6,241
1,170,89,8.6,11,136
0,177,97,10,11.3,137
1,375,990,28,29.5,223
1,395,1170,28.1,31.7,238
0,170,93,10.1,11.2,126
1,406,1350,30.5,32,235
1,414,1370,29.3,33,240
1,173,103,9.7,19.4,137
1,209,151,12.2,13.9,160
1,177,101,10.3,12.1,140
1,388,985,26.9,29.8,220
1,277,940,26.5,30.4,218
1,423,1310,27.4,34.1,234
1,365,1035,26.1,30.8,232
1,383,965,26.1,31.8,221
1,391,1125,25.4,30.9,220
1,389,975,26.4,30.3,232
1,392,1140,26.2,29.8,214
1,375,950,25.3,29.9,225
1,410,1210,28.1,28.9,238
1,179,95,10.8,11.6,133
1,172,89,9.4,10.8,136
0,202,195,12.4,14.1,151
1,174,93,9.5,11,131
1,422,1205,28.8,31.3,238
1,385,1045,27.6,27.5,229
1,363,1090,26.6,28.8,202
1,450,1190,30.3,32.8,226
1,380,960,25.6,30.1,220
1,385,955,26.3,30.1,215
1,385,1110,24.7,30.2,122
1,171,100,19.1,11.5,134
1,380,900,24,26.5,215
1,384,1075,26.5,30.7,208
1,373,980,27.9,32.1,211
1,381,940,27.8,34.2,220
1,363,1070,25.6,30.4,204
1,409,1120,29.4,31.6,229
0,390,1060,27.6,29,205
1,204,168,12.1,14.3,155
1,197,211,11.5,13.9,150
1,420,1125,27.2,27.4,244
1,381,1100,27,28.2,225
1,408,1360,30,33.9,239
1,388,995,26.7,30.7,222
0,398,1095,21.1,31.4,209
1,209,196,12.1,14.6,164
1,209,176,11.7,15.1,159
0,394,1075,25.5,29.7,211
0,204,180,12.3,15.2,160
1,204,164,12.3,14.3,157
1,209,158,12.2,14.4,160
1,394,1140,26.8,29.2,216
1,416,1240,27.9,31.8,250
1,445,1465,29.7,34.6,260
1,209,169,12.1,14.5,164
1,388,1105,26.7,28.9,217
1,397,1010,27.1,31.4,228
1,384,1075,26.3,30.5,218
1,379,1060,27.9,30.9,220
1,393,1015,27.6,31.1,227
1,386,1100,26,30.2,211
1,397,1010,25,30.6,222
1,382,1000,26.3,30.1,225
1,386,980,25.4,30.2,221
1,417,1240,28.7,32.4,231
1,403,1360,27.9,33.1,235
0,239,183,17.3,19.2,182
1,401,1405,29.1,82.8,235
0,377,1055,27,29.1,200
0,432,1670,27.1,32.9,216
1,390,1250,26.2,30.5,223
1,381,1030,25.3,29.9,210
1,213,190,12.2,15.5,160
1,172,105,10,10.8,125
1,390,1090,26.2,28.8,226
1,204,190,11.8,13.9,154
0,386,1050,28.4,29.4,207
1,402,1110,26.1,30,238
1,201,206,12.1,13.5,151
1,202,195,12.1,14.8,158
0,374,1010,24.9,30.1,197
1,358,880,24.2,28.7,250
1,370,1060,24.3,29.8,215
1,390,920,25.7,30,214
1,398,1195,26.2,29.8,230
1,360,890,26,28.4,213
1,355,900,25.3,29,214
0,375,1110,22.2,31.5,224
1,200,160,10.2,13.2,153
1,179,105,10.1,11.3,131
1,175,99,9.6,12.7,145
1,203,165,12,14.4,165
1,205,100,12,12.5,168
1,213,125,11.5,14.4,156
1,409,1100,29,32.6,215
1,195,155,11.9,14.6,155
1,415,1285,29.5,31.8,239
0,236,390,15.1,20.4,185
1,363,920,26.8,30.2,214
1,381,1025,25.4,30.8,232
0,350,940,26,29.1,205
1,398,1240,28.5,30.8,243
1,412,1160,27.8,33,255
1,203,150,11.5,13.9,159
1,201,130,11.7,14.4,156
1,411,1240,26.8,32.7,276
1,373,930,24.4,27.4,210
1,178,90,10.9,12.1,145
1,415,1240,25.6,31.2,231
1,383,1030,25.2,29.8,216
1,223,550,18.8,21.3,210
1,390,1250,26.5,32,210
1,390,999,25.3,29.8,220
0,365,1120,26.5,30.8,260
0,345,1000,26.4,30.1,200
1,273,530,19.2,24.7,213
1,400,1040,27.7,32.1,230
1,380,1150,27.8,31.1,220
1,330,1000,25.9,30.2,220
1,410,1360,33.3,28.6,235
1,313,930,25.7,28.9,215
1,384,980,25.8,30.4,215
1,409,1260,27.7,31.8,221
1,390,900,27.5,28.6,225
1,411,1300,25.9,31.9,238
1,259,470,16.6,23.4,221
0,380,1040,26.4,30.9,212
1,370,950,27.3,30.5,215
1,415,1320,29.4,33.9,235
1,215,180,14.1,12.7,132
1,410,1280,27.9,32.7,229
1,412,1310,26.1,31.1,251
0,384,910,26.4,28.4,215
1,404,1220,28.6,30.4,225
1,375,920,23.8,28.8,210
1,410,1135,26.4,32.4,267
1,384,940,26.2,29.8,220
1,385,920,25,32.2,238
1,398,1280,28,32.4,248
1,425,1220,27.3,33,241
1,401,1000,26.7,28,212
1,387,1120,26.8,50.2,221
1,376,925,26,30.8,233
0,171,90,9.9,11.9,138
0,420,1280,27.5,31.8,230
1,385,985,27.5,30.8,223
1,405,1350,28.3,32.6,226
1,350,730,24.6,25.7,208
1,388,890,27.8,31.2,231
1,398,1020,26.5,31.1,217
0,410,1000,27.1,30.6,230
1,202,150,11.7,14.1,153
1,204,180,11.5,12.4,186
0,382,1020,26.5,29.4,225
1,111,1340,26.85,31.9,226
1,396,1300,27.3,30.5,214
1,363,1015,25.5,30.1,242
1,360,900,30.5,28.8,220
1,390,1000,26.1,29.6,250
1,195,150,12.3,14.6,178
0,390,1050,24.8,32.5,220
1,380,950,24.9,29,240
1,225,350,12.6,26,215
0,247,375,16.9,18.2,160
0,415,1175,28.3,33.2,230
1,354,980,25.8,29.3,220
0,417,1260,29,32.8,234
1,379,1050,25.9,31.3,226
0,412,1330,29.2,32.2,218
0,377,980,28,29.1,209
1,372,920,25.3,30,228
1,420,1540,29.9,35.5,235
1,368,1060,25.5,26.9,223
1,406,1420,29.9,32,245
1,225,400,15,20,202
1,392,1142,27.2,33,235
1,191,157,12,13.8,158
1,161,98,10.3,11.7,133
1,365,813,26.2,30.1,221
1,156,94,9.9,11.4,125
1,191,155,16.5,14.4,158
1,198,181,12.5,14.1,159
1,160,92,9.8,11,132
1,164,98,10.1,11.4,136
1,352,1024,26.6,30.3,216
1,265,464,19.2,24.1,225
1,163,100,10.4,11.2,137
1,193,186,12.8,14,155
1,190,164,11.9,14.5,155
1,165,98,10.1,11.4,138
0,198,158,12.1,14.5,154
1,370,1023,25.8,30.1,216
1,230,340,16.5,30.5,200
1,194,163,12.2,20,158
1,157,92,9.8,14.7,132
1,260,550,19.5,11.2,215
0,377,1119,25.4,23.9,226
1,364,917,26,29.6,216
1,367,946,26.7,28.9,221
1,233,337,15.7,31.9,196
1,336,742,23.4,18.8,221
1,259,439,18.8,15.2,218
1,199,187,12.2,24.2,157
1,165,92,9.7,14.6,135
1,370,1094,27.3,11.5,221
1,362,832,23.8,32.6,210
1,368,1244,26.7,30.2,220
1,367,974,25.2,29.6,221
1,400,1289,28.6,32.1,242
1,379,999,28.3,32,220
1,360,994,26.5,30.4,210
1,362,1004,27,31.4,221
1,378,1097,28.9,33.4,236
1,201,185,13.1,14.5,162
1,193,181,12.8,11.5,150
1,372,1092,27.2,31.8,235
1,369,1049,30.1,32,231
1,354,998,27.2,29.2,227
1,367,1091,31.8,34.2,238
1,349,987,29,31.1,225
1,375,1151,34.1,33.7,249
1,343,971,25.1,26.1,213
1,360,1159,32.9,34,240
1,395,1239,26.7,33.2,231
1,400,1216,28.5,32.1,227
0,170,177,12.3,14.4,155
1,268,469,20,24.9,227
1,369,1039,26.9,29.5,223
1,365,1079,25.2,30,228
0,375,1159,33.8,32.7,242
1,230,162,12.3,13.8,149
0,213,339,23.5,13.8,184
0,382,1403,34.9,34.7,247
1,168,175,12.9,14,158
0,478,1473,39.2,44.7,267
1,469,1001,29.9,43.2,257
1,172,98,8.7,10.9,148
1,373,914,25.9,30.4,221
0,386,1059,25.5,30.5,214
1,384,1147,29,35,229
1,351,949,26.8,29.7,213
1,168,102,9.6,11.9,138
1,363,973,24.8,27.3,213
1,199,196,12.4,15.2,158
1,235,327,16.5,20.3,193
0,374,1064,26,32.1,201
1,369,749,24,26.8,216
1,202,201,11.7,14.9,165
1,202,180,12.4,14.1,160
1,374,1213,24.9,28,244
1,389,1200,28.2,30.8,230
1,379,1040,25.3,29.4,227
1,170,113,10.6,11.1,139
1,373,919,24.2,28.5,233
1,403,1487,26,32.5,240
1,400,1254,25.2,30,237
0,205,156,10.8,14.1,144
1,405,1189,27.7,31.3,210
1,382,979,24.8,27.9,225
0,165,96,10.7,11.4,125
1,407,1339,27.3,33.4,246
1,403,1199,28.8,31,225
1,406,1344,27.9,33.1,230
1,381,969,26.1,31.1,220
1,395,1039,26,29.7,230
1,410,1054,28.5,31.5,233
0,243,334,17.5,19.2,196
1,170,101,9.8,11,135
0,210,181,12.2,15,170
0,425,1449,30.3,33,232
1,402,985,26.6,29.8,234
0,480,1598,34.2,35.4,239
1,412,992,30.1,31.5,230
1,260,569,19.1,24,227
0,381,1354,28.2,32,213
0,392,969,25.9,29,207
1,382,1080,25.3,31,214
0,196,185,12.5,14,146
0,391,1097,27.9,32.8,217
0,397,1439,28.8,31.4,216
1,376,1019,25.8,29.5,216
0,410,1239,29.5,31.8,222
1,381,1399,27.6,31.3,288
1,396,1169,27.5,25.2,238
1,383,1164,27,29.9,199
1,203,176,11.5,14.7,161
1,255,429,19,22.9,208
1,196,160,12.3,14.7,137
1,168,105,10.2,11,143
1,392,890,24.1,29.2,219
1,163,100,9.7,11.6,128
1,395,1215,28.3,33,236
1,163,100,9.9,11.3,131
1,370,1030,27.6,31.4,225
0,225,340,15.7,19.4,190
1,197,165,11.9,9.6,150
1,376,985,26.4,30.3,223
1,372,975,26.5,31.6,225
1,391,1165,28.2,32.4,241
1,165,95,9.7,11.2,136
1,364,1044,23.5,29,210
0,202,180,12.9,15,160
1,163,125,9.7,10.9,135
1,375,890,24.6,28,219
1,392,1105,26.4,33.6,229
0,398,1310,28.3,35.2,211
1,371,895,26.8,31,204
0,367,1060,26.8,31,204
0,193,165,13.2,14.6,146
0,375,960,28.9,29.3,214
1,408,1270,29.4,33,236
0,252,540,20,28.8,185
0,237,365,17.3,19.9,195
1,399,1170,28.3,29.9,247
0,268,590,20,19.9,215
1,388,1225,29,31.5,227
0,200,175,12.3,15.6,155
1,192,170,12.4,15.5,159
0,167,100,10,11.3,132
1,370,1060,26.6,31.9,225
0,162,110,10,11.8,130
1,363,850,25.5,30,220
1,371,1145,25.5,10.3,215
0,199,165,12.5,15.7,161
1,386,1090,26.1,28.2,226
1,400,1345,32.6,33.9,227
1,390,1050,26.6,29,236
